timestamp;query;course;misalignment
none;Est-ce que l'annotation @Column est indispensable pour indiquer qu'une propriété Java doit être persistée ?;lecture_jpa;adv
none;Comment faire en sorte que la base de données ne soit pas réinitialisée à chaque démarrage de l'application ?;practice_jpa;non
none;Comment indique-t-on dans le java qu'un attribut de classe correspond à une clé primaire autoincrémentée ?;practice_jpa;non
none;Où doit-on définir les méthodes CRUD d'une entité ?;practice_jpa;non
none;Quelles annotations permettent de définir des associations entre classes ?;practice_jpa;non
none;Est-ce que l'annotation @Column est indispensable pour indiquer qu'une propriété java doit être persistée ?;practice_jpa;non
none;Qu'est-ce que c'est la couche applicative d'une application Spring?;practice_jpa;oui
none;C'est quoi un ORM ?;practice_jpa;oui
none;À quoi sert JPA ?;practice_jpa;oui
none;Quelles sont les trois couches fontionnelles qui structurent le code d'une application Web Spring?;practice_jpa;oui
none;Quelle est la différence entre @Controller et @RestController ?;practice_jpa;adv
none;Peux-tu me rappeler le nom d'un serveur d'application pour déployer une application Spring ?;practice_jpa;adv
none;Peux-tu me dire comment associer une url à une méthode du contrôleur et indiquer qu'il attend un paramètre nommé city de type String par GET ?;practice_jpa;adv
none;Comment configurer un pom.xml pour effectuer un déploiement sur un serveur Wildfly ?;practice_jpa;adv
none;Est-ce que JSON est un langage approprié pour représenter un DTO ?;practice_jpa;adv
none;Quel est la classe Java qui gère la persistance des objets Java ?;practice_jpa_advanced;non
none;Comment indiquer une récupération différée des objets liés à une classe ?;practice_jpa_advanced;non
none;Quels sont les différents états d'un objet géré par l'entity manager ?;practice_jpa_advanced;non
none;Quelle est la différence entre merge et persist ?;practice_jpa_advanced;non
none;Quel est le lien entre contexte transactionnel et EntityManager ?;practice_jpa_advanced;non
none;C'est quoi un ORM ?;practice_jpa_advanced;oui
none;À quoi sert JPA ?;practice_jpa_advanced;oui
none;Comment faire en sorte que la base de données ne soit pas réinitialisée à chaque démarrage de l'application ?;practice_jpa_advanced;oui
none;Comment indique-t-on dans le java qu'un attribut de classe correspond à une clé primaire autoincrémentée ?;practice_jpa_advanced;oui
none;Où doit-on définir les méthodes CRUD d'une entité ?;practice_jpa_advanced;oui
none;Quelle est la différence entre @Controller et @RestController ?;practice_spring_2tiers_ext;non
none;Peux-tu me rappeler le nom d'un serveur d'application pour déployer une application Spring ?;practice_spring_2tiers_ext;non
none;Peux-tu me dire comment associer une url à une méthode du contrôleur et indiquer qu'il attend un paramètre nommé city de type String par GET ?;practice_spring_2tiers_ext;non
none;Comment configurer un pom.xml pour effectuer un déploiement sur un serveur Wildfly ?;practice_spring_2tiers_ext;non
none;Est-ce que JSON est un langage approprié pour représenter un DTO ?;practice_spring_2tiers_ext;non
none;C'est quoi une architecture multi-tiers ?;practice_spring_2tiers_ext;oui
none;Quelles sont les trois couches fontionnelles qui structurent le code d'une application Web Spring?;practice_spring_2tiers_ext;oui
none;Pourquoi a-t-on besoin d'un serveur d'application ?;practice_spring_2tiers_ext;oui
none;C'est quoi un ORM ?;practice_spring_2tiers_ext;oui
none;À quoi sert JPA ?;practice_spring_2tiers_ext;oui
